news_report_url;news_report_headline;news_report_platform;date_of_publication;author;wire_service;Notes;NO OF SUBS
Farm Killing Justice;NA;STAR;14/08/2014;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Teenager gets 20 years for murders of Griquatown farm family;NA;STAR;14/04/2012;Sandi Kwon Hoo SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Vier van vyf leerlinge geskiet;NA;VOLKSBLAD;20/03/2013;Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Taking weapons to the cops was a mistake, says accused;NA;DFA;13/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Gruesome images of farm murder shown in court;NA;STAR;21/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Ek is lief vir jou' - Marthella;NA;VOLKSBLAD;09/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Hierdie was geen gewone plaasmoord';NA;VOLKSBLAD;27/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
SEUN WOU GLO R40 000 OPSYGESIT HE;NA;VOLKSBLAD;19/11/2013;Charne Kemp Andre Damons;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Accused used murder weapon on meerkats;NA;DFA;22/02/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
VERKRAG?;NA;VOLKSBLAD;27/03/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
n Dag Van Antwoorde;NA;VOLKSBLAD;04/09/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Vonnis is 'skokkend';NA;VOLKSBLAD;14/02/2016;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Volbank vir seun, nou man, se apel na moord;NA;RAPPORT;16/03/2013;Sonja Carstens;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Tiener gekrap, bebloed;NA;BEELD;11/10/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Court to decide on fees;NA;DFA;08/11/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
